marca-id;marca-descr;produto-classe;produto-ean;produto-dun;produto-conservacao;produto-descr
4;BRF - Perdigão;Lanches;7891515492960;;Congelado;Pão De Queijo Lanche Perdigão 900G -Caixa c/10
4;BRF - Perdigão;Lanches;7891515492946;;Congelado;Pão de Queijo Coquetel Congelado Perdigão 375g -Caixa c/20
4;BRF - Perdigão;Lanches;7891515492939;;Congelado;Pão de Queijo Tradicional Congelado Perdigão 375g -Caixa c/20
3;BRF - Sadia;Aves;7891515493042;;Congelado;Linguiça de Frango Sadia 800g -Caixa c/12
4;BRF - Perdigão;Suínos;7891515491314;;Resfriado;Bacon Cubos Food Service Perdigão Caixa 4Kg
4;BRF - Perdigão;Aves;7891515503659;;Congelado;Filezinho Sassami de Frango Perdigão 1kg -Caixa c/16
3;BRF - Sadia;Suínos;7893000097926;;Resfriado;EMBUTIDO DE PERNIL COZ S/ CAPA GORDURA Sadia Food Service 3,5Kg -Caixa c/2
3;BRF - Sadia;Bovinos;7893000517059;;Congelado;Costela Suína Sadia Caixa 10 Kg -Caixa c/1
3;BRF - Sadia;Outros;7893000444904;;Resfriado;Apresuntado Sadia 3,5kg -Caixa c/2
3;BRF - Sadia;Suínos;7893000522213;;Congelado;Salame Pepperoni Fatiado Sadia 1kg -Caixa c/2
3;BRF - Sadia;Suínos;7893000528093;;Congelado;Lombo Temperado Sadia 1,1 kg a 1,5 kg
3;BRF - Sadia;Suínos;7893000526044;;Resfriado;Bacon Defumado Manta Sadia Peso Variável de 3 até 4kg -Caixa c/4
3;BRF - Sadia;Outros;7893000516915;;Congelado;Costelinha Suína CONG SD PVAR
5;BRF - Qualy;Margarinas;7893000502888;;Resfriado;Margarina Qualy Light/Zero Lactose com Sal 500g -Caixa c/12
3;BRF - Sadia;Aves;7893000532793;;Congelado;Sobrecoxa de Frango c/ Osso e Pele Sadia Food Service Caixa 15Kg -Caixa c/1
5;BRF - Qualy;Margarinas;7893000394117;;Resfriado;Margarina Qualy Cremosa com Sal 250g -Caixa c/24
5;BRF - Qualy;Margarinas;7893000383005;;Resfriado;Margarina Qualy Cremosa sem Sal 500g -Caixa c/12
3;BRF - Sadia;Suínos;7893000289758;;Resfriado;Salame Hamburguês Fatiado Sadia Caixa 3Kg
3;BRF - Sadia;Suínos;7893000290259;;Resfriado;Salame Italiano Fatiado Sadia 100g -Caixa c/30
3;BRF - Sadia;Aves;7893000024007;;Congelado;Linguiça de Frango Sadia 5kg -Caixa c/3
3;BRF - Sadia;Suínos;7893000018761;;Congelado;Bisteca Suína Sadia 10kg -Caixa c/1
6;BRF - Deline;Margarinas;7893000012356;;Resfriado;Margarina Cremosa c/ Sal 60% de Lipídios Deline Balde 15kg
3;BRF - Sadia;Aves;7893000437104;;Congelado;Moela de Frango Sadia 1kg -Caixa c/12
3;BRF - Sadia;Aves;7893000488878;;Congelado;Coxinha da Asa de Frango Sadia 1kg -Caixa c/8
5;BRF - Qualy;Margarinas;7893000382961;;Resfriado;Margarina Qualy Cremosa sem Sal 250g -Caixa c/24
3;BRF - Sadia;Aves;7893000488526;;Congelado;Frango à Passarinho Sadia 1kg -Caixa c/8
5;BRF - Qualy;Margarinas;7893000394209;;Resfriado;Margarina Qualy Cremosa com Sal 500g -Caixa c/12
3;BRF - Sadia;Suínos;7893000556706;;Resfriado;Copa Inteira Sadia Speciale Caixa 4,7kg
3;BRF - Sadia;Aves;7893000030183;;Congelado;Peru Tradicional Sadia 5 kg a 5,99 kg
3;BRF - Sadia;Suínos;7893000290174;;Resfriado;Copa Fatiado Sadia Speciale 100g -Caixa c/30
3;BRF - Sadia;Outros;7893000779501;;Congelado;Torta Mousse de Chocolate com Raspas Miss Daisy Caixa 470g -Caixa c/6
3;BRF - Sadia;Aves;7893000719279;;Resfriado;Salsicha de Frango Sadia 500g -Caixa c/12
3;BRF - Sadia;Aves;7893000696204;;Resfriado;Peito de Peru Defumado Sadia 2,6kg -Caixa c/2
3;BRF - Sadia;Suínos;7893000133075;;Resfriado;Linguiça Calabresa Defumada Guanabara Sadia 500g -Caixa c/10
3;BRF - Sadia;Outros;7893000106420;;Resfriado;Salsicha Hot-Dog Sadia 3kg -Caixa c/2
3;BRF - Sadia;Aves;7893000027718;;Congelado;Hot Pocket Sadia X-Frango 145g -Caixa c/18
3;BRF - Sadia;Outros;7893000094741;;Resfriado;Presunto Parma Sadia Speciale Caixa 7kg peça inteira -Caixa c/1
3;BRF - Sadia;Lanches;7893000632233;;Congelado;Pizza 4 Queijos Sadia 460g -Caixa c/12
3;BRF - Sadia;Lanches;7893000631939;;Congelado;Pizza Mussarela Sadia 440g -Caixa c/12
3;BRF - Sadia;Outros;7893000969032;;Congelado;Torta Holandesa Miss Daisy 470g -Caixa c/6
3;BRF - Sadia;Suínos;7893000973817;;Resfriado;Linguiça Tipo Calabresa Reta Defumada Sadia 2,5Kg -Caixa c/3
3;BRF - Sadia;Suínos;7893000001121;;Seco;Tender Suíno Desossado Sadia 1,2 kg
3;BRF - Sadia;Suínos;7893000650138;;Resfriado;Linguiça Tipo Calabresa Defumada Sadia 500g -Caixa c/10
3;BRF - Sadia;Suínos;7893000973909;;Resfriado;Linguiça Tipo Calabresa c/ Especiarias Sadia 2,5Kg -Caixa c/7,5
3;BRF - Sadia;Aves;7893000518025;;Congelado;Frango Inteiro Com miudos Sadia Caixa 18kg
3;BRF - Sadia;Aves;7893000482401;;Congelado;Filé de Peito de Frango Sadia 1kg -Caixa c/12
3;BRF - Sadia;Suínos;7893000521322;;Resfriado;Bacon Fatiado Sadia Na Receita 750g -Caixa c/6
3;BRF - Sadia;Aves;7893000863125;;Congelado;Filezinho Sassami de Frango Sadia 1kg -Caixa c/12
4;BRF - Perdigão;Suínos;7891515490430;;Congelado;Lasanha Calabresa Perdigão 600g -Caixa c/6
4;BRF - Perdigão;Suínos;7891515490218;;Resfriado;Salame Defumado Fatiado Perdigão 100g -Caixa c/30
4;BRF - Perdigão;Outros;7891515489335;;Congelado;Mini Chicken Tradicional Perdigão 3kg - Caixa com 2
3;BRF - Sadia;Suínos;7891515489106;;Congelado;Lombo Suíno Temperado Sadia Assa Fácil 750g
